site,cellname,subcell,cell_subcell,data_users,radius_s,radius_e,lat,long,beamwidth,azimuth
1002B,1002B_3,SC09,1002B_3_SC09,0.01468052,3900,6318,3.14474,101.715209,65,270
1003B,1003B_1,SC01,1003B_1_SC01,12.65605614,0,234,3.1395,101.75589,65,0
1003B,1003B_1,SC02,1003B_1_SC02,13.9225931,234,546,3.1395,101.75589,65,0
1003B,1003B_1,SC03,1003B_1_SC03,2.579943551,546,1014,3.1395,101.75589,65,0
1003B,1003B_1,SC04,1003B_1_SC04,0.369419201,1014,1560,3.1395,101.75589,65,0
1003B,1003B_1,SC05,1003B_1_SC05,0.976660192,1560,2106,3.1395,101.75589,65,0
1003B,1003B_1,SC06,1003B_1_SC06,0.317615936,2106,2562,3.1395,101.75589,65,0
1003B,1003B_1,SC07,1003B_1_SC07,0.099981811,2562,3120,3.1395,101.75589,65,0
1003B,1003B_1,SC08,1003B_1_SC08,0.075112217,3120,3900,3.1395,101.75589,65,0
1003B,1003B_1,SC09,1003B_1_SC09,0.002617852,3900,6318,3.1395,101.75589,65,0
1003B,1003B_2,SC01,1003B_2_SC01,43.40347077,0,234,3.1395,101.75589,65,120
1003B,1003B_2,SC02,1003B_2_SC02,25.26135107,234,546,3.1395,101.75589,65,120
1003B,1003B_2,SC03,1003B_2_SC03,1.966330972,546,1014,3.1395,101.75589,65,120
1003B,1003B_2,SC04,1003B_2_SC04,1.833043326,1014,1560,3.1395,101.75589,65,120
1003B,1003B_2,SC05,1003B_2_SC05,0.045118863,1560,2106,3.1395,101.75589,65,120
1003B,1003B_2,SC06,1003B_2_SC06,0.00421746,2106,2562,3.1395,101.75589,65,120
1003B,1003B_2,SC07,1003B_2_SC07,1.022734013,2562,3120,3.1395,101.75589,65,120
1003B,1003B_2,SC08,1003B_2_SC08,0.580656689,3120,3900,3.1395,101.75589,65,120
1003B,1003B_2,SC09,1003B_2_SC09,0.008076833,3900,6318,3.1395,101.75589,65,120
1003B,1003B_3,SC01,1003B_3_SC01,25.55688821,0,234,3.1395,101.75589,65,210
1003B,1003B_3,SC02,1003B_3_SC02,30.66455617,234,546,3.1395,101.75589,65,210
1003B,1003B_3,SC03,1003B_3_SC03,8.234842541,546,1014,3.1395,101.75589,65,210
1003B,1003B_3,SC04,1003B_3_SC04,3.526470511,1014,1560,3.1395,101.75589,65,210
1003B,1003B_3,SC05,1003B_3_SC05,0.732806368,1560,2106,3.1395,101.75589,65,210
1003B,1003B_3,SC06,1003B_3_SC06,0.07852399,2106,2562,3.1395,101.75589,65,210
1003B,1003B_3,SC07,1003B_3_SC07,0.061563385,2562,3120,3.1395,101.75589,65,210
1003B,1003B_3,SC08,1003B_3_SC08,0.032874703,3120,3900,3.1395,101.75589,65,210
1003B,1003B_3,SC09,1003B_3_SC09,0.236474128,3900,6318,3.1395,101.75589,65,210
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
